lambda,E_OF,E_Sk,E_u,E_tot,Q,derrick
0.6,134.1302,367.7187,2.2605,504.1094,-0.999990,-229.0676
0.7,156.1948,315.1878,2.6957,474.0784,-0.999985,-153.6015
0.8,178.1763,275.7895,3.0924,457.0582,-0.999977,-91.4284
0.9,200.0746,245.1463,3.4466,448.6675,-0.999968,-38.1784
0.95,210.9925,232.2439,3.6076,446.8440,-0.999962,-14.0362
1.0,221.8896,220.6317,3.7580,446.2792,-0.999956,8.7739
1.05,232.7658,210.1254,3.8980,446.7892,-0.999949,30.4364
1.1,243.6211,200.5743,4.0280,448.2233,-0.999942,51.1028
1.2,265.2691,183.8598,4.2593,453.3881,-0.999924,89.9279
1.4,308.3139,157.5941,4.6194,470.5273,-0.999880,159.9586
1.6,351.0227,137.8948,4.8661,493.7836,-0.999821,222.8601
2.0,435.4267,110.3157,5.1183,550.8608,-0.999651,335.3476
2.5,539.0133,88.2524,5.1641,632.4298,-0.999319,461.0892
3.0,640.4376,73.5432,5.0646,719.0454,-0.998826,577.0235
